# tools/parity-sample.tsv — 100 random sites >1MB from /var/www-hotglue/usr (seeded draw 20260907)
# site<TAB>page<TAB>target<TAB>note (note=object count)
catobarberien	architects I admire 	catobarberien-architects-I-admire	14 objects, 432 KB
catobarberien	charlotte perriand	catobarberien-charlotte-perriand	15 objects, 892 KB
catobarberien	Christian Taeubert	catobarberien-Christian-Taeubert	1 objects, 2196 KB
catobarberien	Coco Chanel	catobarberien-Coco-Chanel	10 objects, 2348 KB
catobarberien	denk je ook even aan mij	catobarberien-denk-je-ook-even-aan-mij	19 objects, 10516 KB
catobarberien	derde jaar bachelor	catobarberien-derde-jaar-bachelor	7 objects, 28 KB
catobarberien	door de lens	catobarberien-door-de-lens	31 objects, 91752 KB
catobarberien	eerstejaar	catobarberien-eerstejaar	13 objects, 1916 KB
catobarberien	Eileen Gray	catobarberien-Eileen-Gray	16 objects, 920 KB
catobarberien	expressie sem 1	catobarberien-expressie-sem-1	11 objects, 10272 KB
catobarberien	female gaze	catobarberien-female-gaze	11 objects, 972 KB
catobarberien	Francis Kéré	catobarberien-Francis-Kere	11 objects, 2568 KB
catobarberien	implement	catobarberien-implement	1 objects, 4 KB
catobarberien	Javier Senosiain	catobarberien-Javier-Senosiain	3 objects, 1648 KB
catobarberien	kuidas works	catobarberien-kuidas-works	6 objects, 3636 KB
catobarberien	me	catobarberien-me	42 objects, 6572 KB
catobarberien	media sem 1	catobarberien-media-sem-1	8 objects, 44512 KB
catobarberien	ontwerpen table talk 4	catobarberien-ontwerpen-table-talk-4	13 objects, 55264 KB
catobarberien	Pezo von Ellrichhausen	catobarberien-Pezo-von-Ellrichhausen	2 objects, 1464 KB
catobarberien	robert young architects	catobarberien-robert-young-architects	1 objects, 1812 KB
catobarberien	tweedejaar	catobarberien-tweedejaar	6 objects, 624 KB
cestquoicedelire	HISTOIRE1	cestquoicedelire-HISTOIRE1	5 objects, 804 KB
cestquoicedelire	MIXMEDIA	cestquoicedelire-MIXMEDIA	6 objects, 4492 KB
cestquoicedelire	SABLES	cestquoicedelire-SABLES	27 objects, 151948 KB
cestquoicedelire	start	cestquoicedelire-start	4 objects, 16 KB
cestquoicedelire	TROMBINOSCOPE	cestquoicedelire-TROMBINOSCOPE	11 objects, 6816 KB
cherdabayeva	start	cherdabayeva-start	16 objects, 63320 KB
chloee	après un ciné-django	chloee-apres-un-cine-django	3 objects, 1876 KB
chloee	huit mains	chloee-huit-mains	5 objects, 5696 KB
chloee	les petits écureuils	chloee-les-petits-ecureuils	6 objects, 4952 KB
chloee	les possibles	chloee-les-possibles	4 objects, 2424 KB
chloee	perpetuel	chloee-perpetuel	3 objects, 2528 KB
chloee	start	chloee-start	4 objects, 10176 KB
chococare	about	chococare-about	13 objects, 204 KB
chococare	barding	chococare-barding	70 objects, 644 KB
chococare	basics	chococare-basics	18 objects, 388 KB
chococare	chocobocompanion	chococare-chocobocompanion	11 objects, 8 KB
chococare	dyeing	chococare-dyeing	27 objects, 104 KB
chococare	feeding	chococare-feeding	27 objects, 100 KB
chococare	links	chococare-links	21 objects, 656 KB
chococare	start	chococare-start	14 objects, 476 KB
claraanderson	Belgique	claraanderson-Belgique	8 objects, 2020 KB
claraanderson	Docks	claraanderson-Docks	6 objects, 1124 KB
claraanderson	FontainesduTemple	claraanderson-FontainesduTemple	9 objects, 1496 KB
claraanderson	I	claraanderson-I	1 objects, 364 KB
claraanderson	Kids	claraanderson-Kids	24 objects, 19544 KB
claraanderson	Louvre	claraanderson-Louvre	13 objects, 4812 KB
claraanderson	Northindia	claraanderson-Northindia	20 objects, 19960 KB
claraanderson	Paris	claraanderson-Paris	18 objects, 5040 KB
claraanderson	start	claraanderson-start	22 objects, 4100 KB
cogoyo1	start	cogoyo1-start	14 objects, 62584 KB
comodintecnico	start	comodintecnico-start	126 objects, 2808 KB
corpocircular	start	corpocircular-start	9 objects, 5132 KB
cumul	azarigrafia	cumul-azarigrafia	3 objects, 96 KB
cumul	blog	cumul-blog	10 objects, 48 KB
cumul	cammoodsexpo	cumul-cammoodsexpo	9 objects, 118036 KB
cumul	carlosblog	cumul-carlosblog	10 objects, 17036 KB
cumul	cineforums	cumul-cineforums	11 objects, 2108 KB
cumul	clarablog	cumul-clarablog	13 objects, 668 KB
cumul	cumul	cumul-cumul	15 objects, 320 KB
cumul	daniblog	cumul-daniblog	9 objects, 420 KB
cumul	elarteenpandemia	cumul-elarteenpandemia	2 objects, 12 KB
cumul	equipo	cumul-equipo	1 objects, 4 KB
cumul	expos	cumul-expos	3 objects, 12 KB
cumul	femunpensament-	cumul-femunpensament	8 objects, 22188 KB
cumul	gerardblog	cumul-gerardblog	7 objects, 21172 KB
cumul	irisblog	cumul-irisblog	12 objects, 2000 KB
cumul	merchan	cumul-merchan	6 objects, 472 KB
cumul	merchan and team	cumul-merchan-and-team	8 objects, 40 KB
cumul	paulablog	cumul-paulablog	10 objects, 32640 KB
cumul	programa	cumul-programa	6 objects, 24 KB
cumul	queescumul	cumul-queescumul	2 objects, 8 KB
cumul	quesignificaelarte	cumul-quesignificaelarte	15 objects, 68 KB
cumul	reportaje fotográfico	cumul-reportaje-fotografico	32 objects, 236344 KB
cumul	reportajeperiodistico	cumul-reportajeperiodistico	4 objects, 376 KB
cumul	rrss	cumul-rrss	4 objects, 16 KB
cumul	textoseimagenes	cumul-textoseimagenes	8 objects, 79052 KB
cumul	textoseimagenesparaeldia1	cumul-textoseimagenesparaeldia1	1 objects, 4 KB
d5706407	FP & BE	d5706407-FP---BE	14 objects, 64 KB
d5706407	I	d5706407-I	2 objects, 8 KB
d5706407	nightwalks	d5706407-nightwalks	6 objects, 24 KB
d5706407	qualms	d5706407-qualms	8 objects, 4580 KB
d5706407	rivers	d5706407-rivers	7 objects, 28 KB
dannygzz	1	dannygzz-1	8 objects, 9060 KB
dannygzz	2	dannygzz-2	9 objects, 1088 KB
dannygzz	3	dannygzz-3	9 objects, 3000 KB
dannygzz	4	dannygzz-4	8 objects, 440 KB
dannygzz	5	dannygzz-5	8 objects, 8240 KB
dannygzz	e1	dannygzz-e1	7 objects, 708 KB
dannygzz	e2	dannygzz-e2	8 objects, 1076 KB
dannygzz	e3	dannygzz-e3	7 objects, 532 KB
dannygzz	e4	dannygzz-e4	6 objects, 292 KB
dannygzz	e5	dannygzz-e5	7 objects, 3672 KB
dannygzz	se1	dannygzz-se1	7 objects, 616 KB
dannygzz	se2	dannygzz-se2	6 objects, 404 KB
dannygzz	se3	dannygzz-se3	6 objects, 940 KB
dannygzz	se4	dannygzz-se4	6 objects, 1252 KB
dannygzz	se5	dannygzz-se5	7 objects, 816 KB
dannygzz	TheOutside	dannygzz-TheOutside	7 objects, 360 KB
davidelongwill	2	davidelongwill-2	5 objects, 5904 KB
davidelongwill	3	davidelongwill-3	5 objects, 4596 KB
davidelongwill	4	davidelongwill-4	5 objects, 4896 KB
davidelongwill	start	davidelongwill-start	7 objects, 6632 KB
dervla	start	dervla-start	4 objects, 1080 KB
desiquevedo	start	desiquevedo-start	5 objects, 8836 KB
dulces	Amor	dulces-Amor	5 objects, 11628 KB
dulces	Chinatown	dulces-Chinatown	8 objects, 11876 KB
dulces	classes	dulces-classes	1 objects, 0 KB
dulces	freak me out	dulces-freak-me-out	3 objects, 5164 KB
dulces	portfolio	dulces-portfolio	6 objects, 4008 KB
dulces	portfolio 2	dulces-portfolio-2	5 objects, 76660 KB
dulces	start	dulces-start	20 objects, 576 KB
espacenomes	start	espacenomes-start	22 objects, 20120 KB
espacioexterior	start	espacioexterior-start	87 objects, 21800 KB
eszterkoncz	about	eszterkoncz-about	4 objects, 476 KB
eszterkoncz	contact	eszterkoncz-contact	11 objects, 704 KB
eszterkoncz	cv	eszterkoncz-cv	14 objects, 64 KB
eszterkoncz	home	eszterkoncz-home	18 objects, 2660 KB
eszterkoncz	projects	eszterkoncz-projects	8 objects, 24696 KB
eszterkoncz	research	eszterkoncz-research	9 objects, 6312 KB
eutensopenso	start	eutensopenso-start	2 objects, 2712 KB
fantasmas	start	fantasmas-start	12 objects, 14312 KB
fragmentised	start	fragmentised-start	2 objects, 6512 KB
francescaronchin	_quadri	francescaronchin-_quadri	5 objects, 996 KB
francescaronchin	start	francescaronchin-start	7 objects, 672 KB
gago	ABOUTME	gago-ABOUTME	13 objects, 23868 KB
gago	FOTO	gago-FOTO	9 objects, 19580 KB
gago	grafico	gago-grafico	16 objects, 21880 KB
gago	Producto	gago-Producto	12 objects, 15936 KB
gago	start	gago-start	13 objects, 1996 KB
gago	trabajos	gago-trabajos	7 objects, 3660 KB
giuliagoncalves	start	giuliagoncalves-start	3 objects, 7264 KB
hiddya	start	hiddya-start	7 objects, 13796 KB
homes4u	1	homes4u-1	1 objects, 1320 KB
homes4u	about	homes4u-about	1 objects, 920 KB
homes4u	CV	homes4u-CV	2 objects, 568 KB
homes4u	shows	homes4u-shows	7 objects, 1860 KB
homes4u	start	homes4u-start	14 objects, 3464 KB
ikarlyyy	asignaturas 	ikarlyyy-asignaturas	22 objects, 3248 KB
ikarlyyy	Edicio Web	ikarlyyy-Edicio-Web	81 objects, 54256 KB
ikarlyyy	EDICIO WEB	ikarlyyy-EDICIO-WEB	18 objects, 22364 KB
